arm,rung,case,repeat,json_valid,verdict,score,deployed,correct,expected_deploy,in_tokens,out_tokens,latency_s,error,response_chars
groq_llama3.1_8b,P3,bad,1,True,fail,0.38,False,True,False,1851,1048,1.76,,3694
groq_llama3.1_8b,P3,bad,2,True,fail,0.47,False,True,False,1851,743,1.25,,2169
groq_llama3.1_8b,P3,overfitted,0,True,probation,0.46,True,False,False,1867,387,0.85,,1293
groq_llama3.1_8b,P3,overfitted,1,True,fail,0.41,False,True,False,1867,911,1.42,,2837
groq_llama3.1_8b,P3,overfitted,2,True,fail,0.49,False,True,False,1867,835,1.62,,2621
groq_llama3.1_8b,P3,solid,0,True,probation,0.52,True,True,True,1873,408,0.83,,1518
groq_llama3.1_8b,P3,solid,1,True,probation,0.52,True,True,True,1873,669,1.28,,1975
groq_llama3.1_8b,P3,solid,2,True,fail,0.9,False,False,True,1873,788,1.39,,2172
groq_llama3.1_8b,P3,borderline,0,True,probation,0.41,True,,,1851,200,0.53,,690
groq_llama3.1_8b,P3,borderline,1,True,probation,0.49,True,,,1851,245,0.59,,905
groq_llama3.1_8b,P3,borderline,2,True,probation,0.65,True,,,1851,1153,2.01,,3579
groq_llama3.1_8b,P4,bad,0,True,fail,0.26,False,True,False,1962,774,1.54,,2544
groq_llama3.1_8b,P4,bad,1,True,fail,0.31,False,True,False,1962,578,1.04,,1593
groq_llama3.1_8b,P4,bad,2,False,,,,,False,1962,697,1.28,,2074
groq_llama3.1_8b,P4,overfitted,0,True,probation,0.49,True,False,False,1978,842,1.67,,2635
groq_llama3.1_8b,P4,overfitted,1,False,,,,,False,1978,1253,2.03,,3981
groq_llama3.1_8b,P4,overfitted,2,True,fail,0.32,False,True,False,1978,644,1.22,,1956
groq_llama3.1_8b,P4,solid,0,True,probation,0.658,True,True,True,1984,727,1.52,,2350
groq_llama3.1_8b,P4,solid,1,True,probation,0.43,True,True,True,1984,244,0.61,,859
groq_llama3.1_8b,P4,solid,2,True,probation,0.49,True,True,True,1984,280,0.79,,1068
groq_llama3.1_8b,P4,borderline,0,True,fail,0.54,False,,,1962,752,1.27,,2106
groq_llama3.1_8b,P4,borderline,1,True,pass,0.63,True,,,1962,276,0.74,,1001
groq_llama3.1_8b,P4,borderline,2,True,probation,0.45,True,,,1962,592,1.24,,1963
