version,case,repeat,verdict,score,deployed,expected_deploy,correct,n_challenges,diagnosis,error
v2,overfitted,2,fail,0.33,False,False,True,6,The strategy fails the composite threshold (0.33 < 0.50) without triggering a hard auto-fail override. The two dominant drags are a near-zero profit factor (PF_tw = 1.02 → pf_score = 0.04) and a catastrophically low walk-forward efficiency (WFE = 0.09 → wfe_score = 0.13). A PF of 1.02 is statistical,
v2,overfitted,3,fail,0.33,False,False,True,6,"The strategy fails the composite threshold with a score of 0.33. The two lowest sub-scores are the primary drivers of the verdict: the profit-factor score (0.04) is near-zero because a trade-weighted PF of 1.02 is barely above breakeven and leaves almost no margin after costs, slippage, or any live-",
v2,solid,1,pass,0.95,True,True,True,5,"All quantitative sub-scores hit their ceilings: PF_tw of 1.71 yields a perfect pf_score, WFE of 0.86 exceeds the 0.70 normalizer, all three slices returned positive PnL (consistency = 1.0), and 144 trades well exceeds the 60-trade saturation point. The only drag is mechanism_score at 0.5 — the EMA-5",
v2,solid,2,pass,0.95,True,True,True,5,"All quantitative sub-scores are at ceiling: PF_tw of 1.71 fully saturates the pf_score (clip at 1.0), WFE of 0.86 exceeds the 0.7 normalization anchor, all three slices show positive PnL (consistency = 1.0), and 144 trades is well above the 60-trade saturation point for sample_size. The only drag is",
v2,solid,3,pass,0.95,True,True,True,5,"The strategy clears every quantitative hurdle comfortably: PF_tw of 1.71 drives pf_score to its ceiling, WFE of 0.86 exceeds the 0.70 normalisation anchor, all three walk-forward slices are profitable (consistency = 1.0), and 144 trades is more than sufficient for statistical confidence. No auto-fai",
v2,borderline,1,probation,0.66,True,,,5,"The strategy clears all three hard auto-fail checks (PF_tw 1.22 > 1.0, 111 trades, plausible mechanism) and lands at 0.66 — inside the probation band. The weakest sub-score is profit factor (0.44): a trade-weighted PF of 1.22 is thin, providing limited cushion against live slippage and spread wideni",
v2,borderline,2,probation,0.66,True,,,5,"The strategy clears all hard auto-fail checks (PF_tw = 1.22, 111 trades, mechanism_score > 0) and scores 0.66, landing firmly in probation territory. The lowest sub-score is pf (0.44), reflecting a profit factor of only 1.22 — the edge is real but thin and does not yet justify full-size deployment. ",
v2,borderline,3,probation,0.66,True,,,5,"The strategy clears all hard auto-fail thresholds (PF_tw 1.22 > 1.0, 111 trades, coherent mechanism) but lands in probation territory at 0.66. The binding constraint is the low profit-factor score (0.44): a PF of 1.22 sits only 44% of the way between breakeven and the pass bar of 1.5, leaving very l",
v3,bad,1,fail,0.09,False,False,True,6,"This strategy is an automatic fail under the hard rule: PF_tw = 0.58 < 1.0, confirming negative expectancy across all observed periods. Every sub-score reinforces the verdict — pf_score is zero (PF below the 1.0 breakeven floor), consistency_score is zero (0 of 3 slices produced positive PnL), and s",
v3,bad,2,fail,0.09,False,False,True,5,"This strategy fails on the hard auto-fail rule: profit_factor_trade_weighted = 0.58, which is well below the 1.0 floor required for positive expectancy. Every sub-score compounds the picture. The pf_score is 0.0 (PF of 0.58 implies the strategy destroys roughly $0.42 for every $1.00 of gross winners",
v3,bad,3,fail,0.09,False,False,True,5,"This strategy is an automatic fail on the hard PF_tw < 1.0 override: a trade-weighted profit factor of 0.58 means the strategy destroys roughly $0.42 for every $1.00 it earns in gross wins — a definitively negative-expectancy system. Even setting aside the override, the composite score of 0.09 refle",
v3,overfitted,1,fail,0.33,False,False,True,5,"The strategy fails to clear the probation threshold primarily because of a near-zero profit factor edge (PF_tw = 1.02, pf_score = 0.04) and negligible walk-forward efficiency (WFE = 0.09, wfe_score = 0.13). These two sub-scores together — weighted at 60% of the composite — collapse the total to 0.33",
v3,overfitted,2,fail,0.33,False,False,True,5,"No hard auto-fail triggers fire — PF_tw is 1.02 (above 1.0), total trades are 104, and mechanism_score is 0.5 — but the composite score of 0.33 falls well below the 0.50 probation floor, driven almost entirely by near-zero pf_score (0.04) and a critically low wfe_score (0.13). A profit factor of 1.0",
v3,overfitted,3,fail,0.33,False,False,True,6,"The strategy clears all hard auto-fail checks (PF_tw = 1.02 > 1.0, 104 trades, mechanism_score > 0), but the composite score of 0.33 falls well below the probation floor of 0.50. The two dominant failure points are profit factor (pf_score = 0.04, reflecting a PF_tw of only 1.02 — essentially break-e",
v3,solid,1,pass,0.95,True,True,True,5,"All quantitative sub-scores are at ceiling: PF_tw of 1.71 implies a pf_score of 1.0 (well above the 1.5 saturation point), WFE of 0.86 exceeds the 0.7 normalizer, all three walk-forward slices are profitable (consistency = 1.0), and 144 trades comfortably saturates the sample-size score. The only sc",
v3,solid,2,pass,0.95,True,True,True,5,"All quantitative sub-scores hit ceiling: profit factor of 1.71 drives pf_score to 1.0, walk-forward efficiency of 0.86 well exceeds the 0.7 normalization point, all three slices returned positive PnL for a perfect consistency score, and 144 trades comfortably saturates the sample-size cap. The only ",
v3,solid,3,pass,0.95,True,True,True,5,"All quantitative sub-scores are at ceiling: trade-weighted profit factor of 1.71 maps to a perfect pf_score, WFE of 0.86 exceeds the 0.70 normalisation anchor, all three slices are profitable (consistency = 1.0), and 144 trades comfortably clears the sample-size floor. The only sub-maximum score is ",
v3,borderline,1,probation,0.66,True,,,5,"The strategy clears all hard auto-fail checks (PF_tw 1.22 > 1.0, 111 trades, plausible mechanism), but falls short of a full pass at 0.66. The lowest sub-score is profit factor (0.44), reflecting a thin 1.22 PF that sits well below the 1.50 target — a modest shift in fill quality, fees, or regime co",
v3,borderline,2,probation,0.65,True,,,5,"The strategy narrowly lands in probation territory at 0.65. The weakest sub-score is profit factor (0.44): a trade-weighted PF of 1.22 is positive-expectancy but thin — only 22% above breakeven — leaving little buffer against slippage, funding costs, or regime shifts. Consistency is also a drag (0.6",
v3,borderline,3,probation,0.65,True,,,5,"The strategy clears all hard auto-fail thresholds (PF_tw = 1.22, 111 trades, plausible mechanism) but falls short of a pass at 0.65. The binding constraint is a weak pf_score of 0.44, driven by a profit factor that sits only modestly above breakeven. The consistency sub-score is further dragged down",
